date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
7/9/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,unknown lizard,unknown,c,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,unknown lizard,unknown,c,rabb,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,unknown lizard,unknown,c,rabb,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,uta stansburiana,side-blotched lizard,g,ibpe,a,4,utst,j,n,NA,23,52,1,w,0
7/11/91,uta stansburiana,side-blotched lizard,g,ibpe,c,8,utst,j,n,NA,19,43,1,w,0
7/11/91,uta stansburiana,side-blotched lizard,g,ibpe,c,11,utst,j,n,NA,21,50,1,w,0
7/11/91,unknown lizard,unknown,g,rabb,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,unknown lizard,unknown,m,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,uta stansburiana,side-blotched lizard,m,rabb,c,NA,utst,j,n,NA,19,35,1,w,0
7/11/91,uta stansburiana,side-blotched lizard,m,well,b,15,utst,j,n,NA,24,54,1,w,0
7/11/91,uta stansburiana,side-blotched lizard,t,east,b,2,utst,j,n,NA,23,51,1,w,0
7/11/91,phrynosoma modestum,roundtail horned,t,east,b,8,phmo,m,n,NA,55,84,NA,w,1
7/11/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/11/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/16/91,cophosuarus texanus,greater earless,c,cali,a,6,cote,m,r,50,40,88,5,b,1
7/16/91,cophosuarus texanus,greater earless,c,cali,a,13,cote,f,n,23,54,118,5,w,0
7/16/91,uta stansburiana,side-blotched lizard,c,grav,a,5,utst,j,n,NA,23,52,1,w,0
7/16/91,uta stansburiana,side-blotched lizard,c,grav,d,6,utst,j,n,NA,22,52,1,w,0
7/16/91,unknown lizard,unknown,c,sand,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/16/91,unknown lizard,unknown,g,basn,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/16/91,unknown lizard,unknown,g,ibpe,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/16/91,uta stansburiana,side-blotched lizard,g,ibpe,c,NA,utst,j,n,NA,21,49,1,w,0
7/16/91,unknown lizard,unknown,m,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/16/91,unknown lizard,unknown,m,rabb,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/16/91,uta stansburiana,side-blotched lizard,m,well,b,4,utst,j,n,NA,21,49,1,w,0
7/16/91,uta stansburiana,side-blotched lizard,m,well,b,8,utst,j,n,NA,23,52,1,w,0
7/16/91,uta stansburiana,side-blotched lizard,t,east,b,3,utst,j,n,NA,21,49,1,w,1
7/16/91,uta stansburiana,side-blotched lizard,t,east,b,6,utst,j,n,NA,22,50,1,w,1
7/19/91,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/19/91,cnemidophorus inornatus,little striped,c,grav,d,2,cnin,NA,NA,NA,NA,NA,NA,NA,1
7/19/91,uta stansburiana,side-blotched lizard,c,sand,c,3,utst,j,n,NA,24,56,1,w,0
7/19/91,uta stansburiana,side-blotched lizard,g,basn,b,1,utst,j,n,NA,27,67,2,w,0
7/19/91,cnemidophorus inornatus,little striped,g,ibpe,a,4,cnin,f,r,30,55,186,4,NA,0
7/19/91,uta stansburiana,side-blotched lizard,g,ibpe,a,15,utst,j,n,NA,22,50,1,w,0
7/19/91,uta stansburiana,side-blotched lizard,g,ibpe,c,7,utst,j,n,NA,21,41,1,b,0
7/19/91,uta stansburiana,side-blotched lizard,g,ibpe,c,8,utst,j,n,NA,22,48,1,w,0
7/19/91,uta stansburiana,side-blotched lizard,m,rabb,a,7,utst,j,n,NA,23,42,1,b,0
7/19/91,uta stansburiana,side-blotched lizard,m,rabb,a,12,utst,j,n,NA,21,50,1,NA,0
7/19/91,uta stansburiana,side-blotched lizard,m,rabb,c,3,utst,j,n,NA,23,51,1,w,0
7/19/91,uta stansburiana,side-blotched lizard,m,rabb,c,5,utst,j,n,NA,20,47,1,w,0
7/19/91,uta stansburiana,side-blotched lizard,m,rabb,c,15,utst,j,n,NA,21,50,1,w,0
7/19/91,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/19/91,cnemidophorus tessalatus,colorado checkered,t,east,b,12,cnte,f,NA,NA,92,292,NA,w,1
7/19/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,1
8/13/91,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/13/91,sceloporus magisters,desert spiny,c,grav,d,5,scma,j,n,NA,27,62,1,w,0
8/13/91,cnemidophorus tigrisatus,western whiptail,c,sand,b,7,cnti,m,r,33,85,280,26,w,0
8/13/91,uta stansburiana,side-blotched lizard,g,basn,b,1,utst,j,n,NA,60,98,1,w,0
8/13/91,uta stansburiana,side-blotched lizard,g,ibpe,a,2,utst,f,n,1540,38,95,4,b,1
8/13/91,cnemidophorus inornatus,little striped,g,ibpe,c,12,cnin,j,n,NA,30,70,1,b,0
8/13/91,unknown lizard,unknown,m,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/13/91,unknown lizard,unknown,m,rabb,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,1
8/13/91,uta stansburiana,side-blotched lizard,m,well,b,2,utst,j,n,NA,23,55,1,w,0
8/13/91,cnemidophorus tigrisatus,western whiptail,t,east,b,10,cnti,m,NA,505,74,249,14,w,0
8/13/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/16/91,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/16/91,unknown lizard,unknown,c,grav,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/16/91,unknown lizard,unknown,c,sand,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/16/91,cnemidophorus tessalatus,colorado checkered,g,basn,b,11,cnte,f,n,35,75,265,24,w,0
8/16/91,unknown lizard,unknown,g,ibpe,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/16/91,unknown lizard,unknown,g,ibpe,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/16/91,cnemidophorus neomexicanus,new mexico,m,rabb,a,13,cnne,f,n,NA,30,110,1,w,0
8/16/91,uta stansburiana,side-blotched lizard,m,rabb,c,6,utst,j,n,NA,29,79,1,w,0
8/16/91,uta stansburiana,side-blotched lizard,m,rabb,c,12,utst,j,n,NA,32,55,1,w,0
8/16/91,uta stansburiana,side-blotched lizard,m,well,b,11,utst,f,n,1541,32,85,2,w,0
8/16/91,cnemidophorus tigrisatus,western whiptail,t,east,b,3,cnti,f,n,510,80,188,18,w,0
